epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.9857,1.38277,0.72032,0.99736,0.72786,0.00027,0.00027,0.00027
2,16.0732,0.6816,0.68602,0.99208,0.96094,0.000531836,0.000531836,0.000531836
3,19.1825,0.54602,0.58575,0.95515,1.55697,0.000775179,0.000775179,0.000775179
4,22.9279,0.65827,0.3905,0.97361,3.49935,0.000900926,0.000900926,0.000900926
5,26.7828,0.64547,0.4934,0.95515,2.08659,0.000867901,0.000867901,0.000867901
6,30.5556,0.59456,0.78892,0.99736,0.55615,0.000834877,0.000834877,0.000834877
7,35.1544,0.45723,0.8153,0.98945,0.60563,0.000801852,0.000801852,0.000801852
8,39.011,0.41568,0.83905,0.98153,0.52116,0.000768827,0.000768827,0.000768827
9,42.7784,0.35657,0.83377,1,0.41992,0.000735803,0.000735803,0.000735803
10,46.8767,0.30684,0.88654,1,0.28935,0.000702778,0.000702778,0.000702778
11,50.8561,0.25195,0.90501,1,0.27091,0.000669753,0.000669753,0.000669753
12,54.5736,0.22796,0.70185,0.99736,1.09033,0.000636729,0.000636729,0.000636729
13,58.9149,0.26245,0.67546,1,1.34115,0.000603704,0.000603704,0.000603704
14,62.9678,0.20475,0.88654,1,0.37646,0.000570679,0.000570679,0.000570679
15,67.1307,0.16913,0.88918,1,0.31519,0.000537655,0.000537655,0.000537655
16,70.9315,0.1383,0.91293,1,0.24369,0.00050463,0.00050463,0.00050463
17,74.7032,0.12086,0.92876,1,0.25781,0.000471605,0.000471605,0.000471605
18,78.8546,0.12576,0.92084,1,0.21944,0.000438581,0.000438581,0.000438581
19,82.9354,0.08857,0.91821,1,0.2137,0.000405556,0.000405556,0.000405556
20,86.9522,0.08521,0.93668,1,0.22904,0.000372531,0.000372531,0.000372531
21,92.8697,0.08833,0.91821,1,0.21989,0.000339507,0.000339507,0.000339507
22,96.7383,0.08534,0.94723,1,0.15542,0.000306482,0.000306482,0.000306482
23,101.015,0.07963,0.93931,1,0.16882,0.000273457,0.000273457,0.000273457
24,105.065,0.05419,0.95251,1,0.16785,0.000240433,0.000240433,0.000240433
25,108.974,0.0511,0.94723,1,0.19208,0.000207408,0.000207408,0.000207408
26,113.203,0.03142,0.94459,1,0.15192,0.000174383,0.000174383,0.000174383
27,117.169,0.04624,0.95778,1,0.14862,0.000141359,0.000141359,0.000141359
28,121.665,0.03522,0.95778,1,0.1415,0.000108334,0.000108334,0.000108334
29,125.521,0.02956,0.96042,1,0.14001,7.53093e-05,7.53093e-05,7.53093e-05
30,129.611,0.02979,0.95515,1,0.14238,4.22847e-05,4.22847e-05,4.22847e-05
