fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.98285,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.98021,0.01,0.00926,0.98,0.00047,3.0,0.77261,8.03929,0.64602,1.5,0.01658,0.65891,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.97889,0.01,0.00913,0.94402,0.0005,4.58489,0.8,4.64183,0.6241,1.80689,0.015,0.72865,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.40093,0.0,1.0,0.0,0.0,0.0,10
0.0,0.01,0.00748,0.937,0.0005,3.63656,0.8,7.63678,0.5,1.22601,0.015,0.8048,0.4,0.0,0.10991,0.5,0.0,0.0,0.0,0.5,0.0,0.92218,0.0,0.0,0.0,9
0.97098,0.01,0.00996,0.92965,0.00028,3.87537,0.50473,7.78267,0.50219,2.24635,0.01665,0.32831,0.4,0.0,0.12206,0.62606,0.0,0.0,0.0,0.6348,0.0,0.7217,0.0,0.0,0.0,8
0.97757,0.0098,0.00987,0.98,0.00026,2.70199,0.44261,6.99871,0.6425,1.36465,0.01347,0.62725,0.4,0.0,0.11291,0.54354,0.0,0.0,0.0,0.4712,0.0,0.90029,0.0,0.0,0.0,10
0.98021,0.01153,0.01572,0.9538,0.00037,2.91159,0.45623,8.22371,0.39905,1.63933,0.0169,0.51914,0.4,0.0,0.12096,0.45109,0.0,0.0,0.0,0.53719,0.0,0.87803,0.0,0.0,0.0,10
0.97493,0.01184,0.00893,0.93421,0.00035,2.56102,0.69366,6.57844,0.52146,2.48995,0.0125,0.84002,0.4,0.0,0.08215,0.39279,0.0,0.0,0.0,0.41513,0.0,0.74982,0.0,0.0,0.0,7
0.97757,0.0099,0.01217,0.94249,0.0004,4.20835,0.58001,6.18703,0.53616,1.46443,0.01614,0.25091,0.4,0.0,0.12995,0.56465,0.0,0.0,0.0,0.48959,0.0,1.0,0.0,0.0,0.0,9
0.97625,0.01182,0.01759,0.9359,0.00043,3.80474,0.82904,6.09114,0.66552,1.25993,0.01527,0.3901,0.4,0.0,0.12237,0.52839,0.0,0.0,0.0,0.5126,0.0,0.72481,0.0,0.0,0.0,10
0.97493,0.00794,0.01046,0.94971,0.0004,2.04492,0.57069,5.88107,0.42391,1.3172,0.01638,0.37908,0.4,0.0,0.07566,0.38901,0.0,0.0,0.0,0.49274,0.0,0.96023,0.0,0.0,0.0,9
0.97098,0.00689,0.01808,0.97123,0.00041,3.1278,0.89144,4.34028,0.46854,1.50101,0.01448,0.36465,0.43982,0.0,0.11572,0.61866,0.0,0.0,0.0,0.50537,0.0,0.83904,0.0,0.0,0.0,8
0.97493,0.00721,0.00904,0.95825,0.00037,2.47105,0.7182,8.30709,0.71259,1.45363,0.01596,0.72105,0.4,0.0,0.12046,0.61076,0.0,0.0,0.0,0.44312,0.0,1.0,0.0,0.0,0.0,9
0.9723,0.01097,0.02382,0.90264,0.0005,3.59188,0.62494,7.72358,0.61729,1.54655,0.01516,0.77344,0.4,0.0,0.13276,0.43953,0.0,0.0,0.0,0.50088,0.0,0.75846,0.0,0.0,0.0,9
0.97493,0.00588,0.01113,0.97771,0.00047,3.04928,0.55944,9.32952,0.81935,1.48465,0.01098,0.44347,0.35282,0.0,0.1005,0.45586,0.0,0.0,0.0,0.50833,0.0,0.88864,0.0,0.0,0.0,10
0.97493,0.00852,0.01628,0.8964,0.00047,4.35054,0.6748,3.43635,0.37289,1.64991,0.01684,0.55835,0.4,0.0,0.11055,0.47058,0.0,0.0,0.0,0.50413,0.0,0.47655,0.0,0.0,0.0,10
0.98417,0.00993,0.01475,0.98,0.00039,1.93506,0.50259,4.73608,0.58605,1.23043,0.01827,0.65316,0.4,0.0,0.13751,0.48369,0.0,0.0,0.0,0.52987,0.0,0.94542,0.0,0.0,0.0,10
0.97757,0.01094,0.0143,0.97913,0.00038,2.49486,0.59727,10.51628,0.43323,1.33584,0.01939,0.25811,0.4,0.0,0.09088,0.47551,0.0,0.0,0.0,0.53284,0.0,0.83219,0.0,0.0,0.0,10
0.98021,0.00844,0.01167,0.94378,0.00051,4.00783,0.46061,10.14503,0.46174,1.60226,0.01294,0.21188,0.4,0.0,0.06019,0.52503,0.0,0.0,0.0,0.46282,0.0,0.75274,0.0,0.0,0.0,10
0.97757,0.00966,0.00895,0.96432,0.00046,2.47827,0.67952,6.80849,0.65105,1.31311,0.01364,0.32171,0.4,0.0,0.12153,0.49251,0.0,0.0,0.0,0.43471,0.0,0.76275,0.0,0.0,0.0,10
